próbacsüt

;;U1;U2
;;V;V
2014.06.12.;04:08:00;0.941;0.941
2014.06.12.;04:09:00;0.941;0.941
2014.06.12.;04:10:00;0.941;0.941
2014.06.12.;04:11:00;0.99;0.99
2014.06.12.;04:12:00;1.069;0.069
2014.06.12.;04:13:00;1.079;0.079
2014.06.12.;04:14:00;1.079;0.079
2014.06.12.;04:15:00;1.079;0.079
2014.06.12.;04:16:00;1.108;0.108
2014.06.12.;04:17:00;1.119;0.119
2014.06.12.;04:18:00;1.098;0.098
2014.06.12.;04:19:00;1.069;0.069
2014.06.12.;04:20:00;1.02;0.02
2014.06.12.;04:21:00;0.999;0.999
2014.06.12.;04:22:00;0.999;0.999
2014.06.12.;04:23:00;0.961;0.961
2014.06.12.;04:24:00;0.961;0.961
2014.06.12.;04:25:00;1.0;0.0
2014.06.12.;04:26:00;1.02;0.02
2014.06.12.;04:27:00;1.04;0.04
2014.06.12.;04:28:00;1.04;0.04
2014.06.12.;04:29:00;1.039;0.039
2014.06.12.;04:30:00;1.05;0.05
2014.06.12.;04:31:00;1.069;0.069
2014.06.12.;04:32:00;1.079;0.079
2014.06.12.;04:33:00;1.079;0.079
2014.06.12.;04:34:00;1.079;0.079
2014.06.12.;04:35:00;1.049;0.049
2014.06.12.;04:36:00;1.04;0.04
2014.06.12.;04:37:00;1.04;0.04
2014.06.12.;04:38:00;1.039;0.039
2014.06.12.;04:39:00;1.039;0.039
2014.06.12.;04:40:00;1.04;0.04
2014.06.12.;04:41:00;1.039;0.039
2014.06.12.;04:42:00;1.029;0.029
2014.06.12.;04:43:00;1.029;0.029
2014.06.12.;04:44:00;1.0;0.0
2014.06.12.;04:45:00;0.971;0.971
2014.06.12.;04:46:00;0.981;0.981
2014.06.12.;04:47:00;0.99;0.99
2014.06.12.;04:48:00;1.0;0.0
2014.06.12.;04:49:00;1.03;0.03
2014.06.12.;04:50:00;1.069;0.069
2014.06.12.;04:51:00;1.08;0.08
2014.06.12.;04:52:00;1.098;0.098
2014.06.12.;04:53:00;1.138;0.138
2014.06.12.;04:54:00;1.148;0.148
2014.06.12.;04:55:00;1.138;0.138
2014.06.12.;04:56:00;1.0;0.0
2014.06.12.;04:57:00;0.971;0.971
2014.06.12.;04:58:00;0.95;0.95
2014.06.12.;04:59:00;1.0;0.0
2014.06.12.;05:00:00;1.01;0.01
2014.06.12.;05:01:00;1.01;0.01
2014.06.12.;05:02:00;0.971;0.971
2014.06.12.;05:03:00;0.941;0.941
2014.06.12.;05:04:00;0.941;0.941
2014.06.12.;05:05:00;0.971;0.971
2014.06.12.;05:06:00;0.98;0.98
2014.06.12.;05:07:00;0.941;0.941
2014.06.12.;05:08:00;0.931;0.931
2014.06.12.;05:09:00;0.941;0.941
2014.06.12.;05:10:00;0.941;0.941
2014.06.12.;05:11:00;0.942;0.942
